,HM01,HM03,HM06,HM07,HM14,HM17,HM43,HM54,HM56,HM57,HM60,HM66,HM68,HM86
b4026,PROKKA_04011,PROKKA_02488,PROKKA_03179,PROKKA_03934,PROKKA_04202,PROKKA_02278,PROKKA_02009,PROKKA_01194,PROKKA_00396,PROKKA_03115,PROKKA_03993,PROKKA_02990,PROKKA_03669,PROKKA_00370
b1326,PROKKA_00955,PROKKA_04285,PROKKA_00088,PROKKA_00725,PROKKA_01345,PROKKA_00158,PROKKA_00142,PROKKA_03244,PROKKA_03318,PROKKA_00068,PROKKA_01364,PROKKA_05073,PROKKA_00748,PROKKA_03416
b1648,PROKKA_01291,PROKKA_04599,PROKKA_00308,PROKKA_01143,PROKKA_01624,PROKKA_05023,PROKKA_04648,PROKKA_03481,PROKKA_03034,PROKKA_00304,PROKKA_01801,PROKKA_00295,PROKKA_01014,PROKKA_03158
b0435,PROKKA_04926,PROKKA_03409,PROKKA_04120,PROKKA_04887,PROKKA_00264,PROKKA_01290,PROKKA_01079,PROKKA_02195,PROKKA_04222,PROKKA_04153,PROKKA_00153,PROKKA_03957,PROKKA_04667,PROKKA_04463
b0401,PROKKA_04890,PROKKA_03371,PROKKA_04085,PROKKA_04847,PROKKA_00226,PROKKA_01328,PROKKA_01117,PROKKA_02158,PROKKA_04257,PROKKA_04117,PROKKA_00115,PROKKA_03919,PROKKA_04633,PROKKA_04499
b4243,PROKKA_04277,PROKKA_02718,PROKKA_03446,PROKKA_04185,PROKKA_04434,PROKKA_02019,PROKKA_01768,PROKKA_01520,PROKKA_00134,PROKKA_03339,PROKKA_03659,PROKKA_03240,PROKKA_04025,PROKKA_00038
b0436,PROKKA_04927,PROKKA_03410,PROKKA_04121,PROKKA_04888,PROKKA_00265,PROKKA_01289,PROKKA_01078,PROKKA_02196,PROKKA_04221,PROKKA_04154,PROKKA_00154,PROKKA_03958,PROKKA_04668,PROKKA_04462
b3472,PROKKA_03311,PROKKA_01872,PROKKA_02452,PROKKA_03241,PROKKA_03560,PROKKA_02940,PROKKA_02656,PROKKA_00496,PROKKA_01037,PROKKA_02468,PROKKA_04579,PROKKA_02357,PROKKA_02955,PROKKA_01008
b0173,PROKKA_04607,PROKKA_03102,PROKKA_03858,PROKKA_04542,PROKKA_04790,PROKKA_01667,PROKKA_01376,PROKKA_01898,PROKKA_04541,PROKKA_03847,PROKKA_03225,PROKKA_03596,PROKKA_04356,PROKKA_04715
b3129,PROKKA_02980,PROKKA_01540,PROKKA_02102,PROKKA_02888,PROKKA_03108,PROKKA_03303,PROKKA_03015,PROKKA_00131,PROKKA_01390,PROKKA_02109,PROKKA_04948,PROKKA_01990,PROKKA_02602,PROKKA_01380
b1823,PROKKA_01480,PROKKA_00143,PROKKA_00488,PROKKA_01354,PROKKA_01810,PROKKA_04837,PROKKA_04465,PROKKA_03670,PROKKA_02856,PROKKA_00484,PROKKA_02007,PROKKA_00475,PROKKA_01195,PROKKA_02960
b0131,PROKKA_04565,PROKKA_03061,PROKKA_03812,PROKKA_04500,PROKKA_04748,PROKKA_01710,PROKKA_01419,PROKKA_01855,PROKKA_04587,PROKKA_03805,PROKKA_03278,PROKKA_03553,PROKKA_04315,PROKKA_04760
b1983,PROKKA_01656,PROKKA_00318,PROKKA_00734,PROKKA_01520,PROKKA_02001,PROKKA_04629,PROKKA_04249,PROKKA_03936,PROKKA_02654,PROKKA_00748,PROKKA_02187,PROKKA_00701,PROKKA_01394,PROKKA_02773
b1605,PROKKA_01246,PROKKA_04555,PROKKA_00262,PROKKA_01092,PROKKA_01578,PROKKA_05070,PROKKA_04694,PROKKA_03435,PROKKA_03078,PROKKA_00259,PROKKA_01750,PROKKA_00251,PROKKA_00967,PROKKA_03205
b1415,PROKKA_01005,PROKKA_04345,PROKKA_00133,PROKKA_00830,PROKKA_01405,PROKKA_00112,PROKKA_00100,PROKKA_03286,PROKKA_03211,PROKKA_00110,PROKKA_01482,PROKKA_00044,PROKKA_00786,PROKKA_03370
b3017,PROKKA_02867,PROKKA_01428,PROKKA_01987,PROKKA_02764,PROKKA_03228,PROKKA_03424,PROKKA_03127,PROKKA_04785,PROKKA_01503,PROKKA_01990,PROKKA_05147,PROKKA_01861,PROKKA_02483,PROKKA_01511
b0684,PROKKA_00176,PROKKA_03642,PROKKA_04368,PROKKA_05162,PROKKA_00569,PROKKA_01061,PROKKA_00848,PROKKA_02439,PROKKA_03989,PROKKA_04376,PROKKA_00414,PROKKA_04185,PROKKA_04894,PROKKA_04227
b1290,PROKKA_00931,PROKKA_04249,PROKKA_00059,PROKKA_00689,PROKKA_01308,PROKKA_00189,PROKKA_00172,PROKKA_03215,PROKKA_03348,PROKKA_00038,PROKKA_01326,PROKKA_05044,PROKKA_00719,PROKKA_03447
b0132,PROKKA_04566,PROKKA_03062,PROKKA_03813,PROKKA_04501,PROKKA_04749,PROKKA_01709,PROKKA_01418,PROKKA_01856,PROKKA_04586,PROKKA_03806,PROKKA_03277,PROKKA_03554,PROKKA_04316,PROKKA_04759
b0675,PROKKA_00167,PROKKA_03632,PROKKA_04349,PROKKA_05152,PROKKA_00559,PROKKA_01080,PROKKA_00868,PROKKA_02418,PROKKA_04008,PROKKA_04357,PROKKA_00402,PROKKA_04166,PROKKA_04875,PROKKA_04245
b3859,PROKKA_03774,PROKKA_02294,PROKKA_02984,PROKKA_03723,PROKKA_04000,PROKKA_02479,PROKKA_02220,PROKKA_00943,PROKKA_00596,PROKKA_02917,PROKKA_05852,PROKKA_02789,PROKKA_03432,PROKKA_00567
b2808,PROKKA_02580,PROKKA_01169,PROKKA_01631,PROKKA_02417,PROKKA_02844,PROKKA_03762,PROKKA_03413,PROKKA_05189,PROKKA_01768,PROKKA_01645,PROKKA_05499,PROKKA_01591,PROKKA_02220,PROKKA_01876
b3154,PROKKA_03003,PROKKA_01567,PROKKA_02126,PROKKA_02917,PROKKA_03080,PROKKA_03279,PROKKA_02991,PROKKA_00155,PROKKA_01366,PROKKA_02131,PROKKA_04921,PROKKA_02013,PROKKA_02627,PROKKA_01356
b0518,PROKKA_05014,PROKKA_03497,PROKKA_04209,PROKKA_04977,PROKKA_00347,PROKKA_01203,PROKKA_00996,PROKKA_02284,PROKKA_04136,PROKKA_04236,PROKKA_00246,PROKKA_04041,PROKKA_04753,PROKKA_04375
b3613,PROKKA_03507,PROKKA_02033,PROKKA_02614,PROKKA_03426,PROKKA_03720,PROKKA_02773,PROKKA_02488,PROKKA_00662,PROKKA_00875,PROKKA_02628,PROKKA_04379,PROKKA_02514,PROKKA_03111,PROKKA_00857
b3676,PROKKA_03588,PROKKA_02103,PROKKA_02782,PROKKA_03517,PROKKA_03805,PROKKA_02684,PROKKA_02417,PROKKA_00734,PROKKA_00803,PROKKA_02717,PROKKA_04192,PROKKA_02586,PROKKA_03226,PROKKA_00771
b0123,PROKKA_04557,PROKKA_03053,PROKKA_03804,PROKKA_04491,PROKKA_04670,PROKKA_01718,PROKKA_01427,PROKKA_01847,PROKKA_04595,PROKKA_03797,PROKKA_03286,PROKKA_03545,PROKKA_04307,PROKKA_04768
b2077,PROKKA_01798,PROKKA_00415,PROKKA_00876,PROKKA_01631,PROKKA_02124,PROKKA_04459,PROKKA_04125,PROKKA_04107,PROKKA_02521,PROKKA_00913,PROKKA_02379,PROKKA_00893,PROKKA_01541,PROKKA_02606
b3357,PROKKA_03197,PROKKA_01759,PROKKA_02340,PROKKA_03119,PROKKA_03439,PROKKA_03062,PROKKA_02777,PROKKA_00374,PROKKA_01153,PROKKA_02346,PROKKA_04707,PROKKA_02229,PROKKA_02840,PROKKA_01133
b2784,PROKKA_02555,PROKKA_01143,PROKKA_01603,PROKKA_02389,PROKKA_02819,PROKKA_03789,PROKKA_03439,PROKKA_05215,PROKKA_01794,PROKKA_01619,PROKKA_05528,PROKKA_01565,PROKKA_02195,PROKKA_01901
b2869,PROKKA_02663,PROKKA_01264,PROKKA_01716,PROKKA_02506,PROKKA_02921,PROKKA_03685,PROKKA_03329,PROKKA_05110,PROKKA_01690,PROKKA_01717,PROKKA_05397,PROKKA_01670,PROKKA_02296,PROKKA_01795
b1813,PROKKA_01467,PROKKA_00130,PROKKA_00477,PROKKA_01341,PROKKA_01797,PROKKA_04850,PROKKA_04475,PROKKA_03657,PROKKA_02868,PROKKA_00472,PROKKA_01993,PROKKA_00463,PROKKA_01184,PROKKA_02970
b4098,PROKKA_04080,PROKKA_02561,PROKKA_03278,PROKKA_04020,PROKKA_04279,PROKKA_02177,PROKKA_01923,PROKKA_01287,PROKKA_00298,PROKKA_03214,PROKKA_03903,PROKKA_03083,PROKKA_03761,PROKKA_00193
b3791,PROKKA_03702,PROKKA_02224,PROKKA_02893,PROKKA_03647,PROKKA_03926,PROKKA_02576,PROKKA_02304,PROKKA_00843,PROKKA_00690,PROKKA_02823,PROKKA_05748,PROKKA_02699,PROKKA_03336,PROKKA_00663
b4025,PROKKA_04009,PROKKA_02486,PROKKA_03177,PROKKA_03932,PROKKA_04200,PROKKA_02280,PROKKA_02011,PROKKA_01192,PROKKA_00398,PROKKA_03113,PROKKA_03995,PROKKA_02988,PROKKA_03667,PROKKA_00372
b0887,PROKKA_00399,PROKKA_03853,PROKKA_04574,PROKKA_00180,PROKKA_00807,PROKKA_00864,PROKKA_00638,PROKKA_02640,PROKKA_03794,PROKKA_04571,PROKKA_00855,PROKKA_04394,PROKKA_00198,PROKKA_04014
b2791,PROKKA_02562,PROKKA_01151,PROKKA_01612,PROKKA_02398,PROKKA_02826,PROKKA_03780,PROKKA_03431,PROKKA_05207,PROKKA_01786,PROKKA_01627,PROKKA_05519,PROKKA_01573,PROKKA_02202,PROKKA_01894
b2959,PROKKA_02760,PROKKA_01366,PROKKA_01813,PROKKA_02609,PROKKA_03019,PROKKA_03588,PROKKA_03233,PROKKA_05017,PROKKA_01599,PROKKA_01808,PROKKA_05288,PROKKA_01762,PROKKA_02388,PROKKA_01698
b1112,PROKKA_00609,PROKKA_04080,PROKKA_04898,PROKKA_00463,PROKKA_01079,PROKKA_00518,PROKKA_00430,PROKKA_02849,PROKKA_03584,PROKKA_04779,PROKKA_01094,PROKKA_04768,PROKKA_00473,PROKKA_03708
b2944,PROKKA_02742,PROKKA_01351,PROKKA_01795,PROKKA_02594,PROKKA_03003,PROKKA_03603,PROKKA_03248,PROKKA_05032,PROKKA_01614,PROKKA_01793,PROKKA_05307,PROKKA_01747,PROKKA_02373,PROKKA_01713
b0425,PROKKA_04916,PROKKA_03395,PROKKA_04110,PROKKA_04873,PROKKA_00251,PROKKA_01300,PROKKA_01092,PROKKA_02182,PROKKA_04232,PROKKA_04143,PROKKA_00142,PROKKA_03945,PROKKA_04657,PROKKA_04473
b2196,PROKKA_01966,PROKKA_00553,PROKKA_00997,PROKKA_01787,PROKKA_02245,PROKKA_04332,PROKKA_03991,PROKKA_04227,PROKKA_02402,PROKKA_01033,PROKKA_02549,PROKKA_01014,PROKKA_01661,PROKKA_02474
b0163,PROKKA_04598,PROKKA_03093,PROKKA_03849,PROKKA_04533,PROKKA_04781,PROKKA_01676,PROKKA_01385,PROKKA_01888,PROKKA_04550,PROKKA_03838,PROKKA_03237,PROKKA_03587,PROKKA_04347,PROKKA_04724
b0366,PROKKA_04858,PROKKA_03342,PROKKA_04055,PROKKA_04814,PROKKA_00192,PROKKA_01361,PROKKA_01149,PROKKA_02127,PROKKA_04288,PROKKA_04087,PROKKA_00080,PROKKA_03888,PROKKA_04603,PROKKA_04532
b4386,PROKKA_04408,PROKKA_02909,PROKKA_03646,PROKKA_04337,PROKKA_04593,PROKKA_01874,PROKKA_01579,PROKKA_01697,PROKKA_04748,PROKKA_03645,PROKKA_03454,PROKKA_03392,PROKKA_04155,PROKKA_04918
b0393,PROKKA_04882,PROKKA_03364,PROKKA_04078,PROKKA_04839,PROKKA_00219,PROKKA_01336,PROKKA_01124,PROKKA_02150,PROKKA_04264,PROKKA_04110,PROKKA_00108,PROKKA_03912,PROKKA_04626,PROKKA_04506
b3848,PROKKA_03762,PROKKA_02282,PROKKA_02973,PROKKA_03711,PROKKA_03988,PROKKA_02491,PROKKA_02231,PROKKA_00931,PROKKA_00608,PROKKA_02905,PROKKA_05834,PROKKA_02777,PROKKA_03420,PROKKA_00579
b2548,PROKKA_02307,PROKKA_00932,PROKKA_01333,PROKKA_02146,PROKKA_02583,PROKKA_04002,PROKKA_03668,PROKKA_04700,PROKKA_02082,PROKKA_01411,PROKKA_02948,PROKKA_01337,PROKKA_01980,PROKKA_02142
b2254,PROKKA_02030,PROKKA_00602,PROKKA_01061,PROKKA_01841,PROKKA_02296,PROKKA_04268,PROKKA_03929,PROKKA_04359,PROKKA_02341,PROKKA_01095,PROKKA_02625,PROKKA_01075,PROKKA_01721,PROKKA_02412
b2565,PROKKA_02326,PROKKA_00951,PROKKA_01353,PROKKA_02171,PROKKA_02603,PROKKA_03983,PROKKA_03649,PROKKA_04719,PROKKA_02006,PROKKA_01430,PROKKA_02968,PROKKA_01360,PROKKA_01999,PROKKA_02122
b0207,PROKKA_04643,PROKKA_03140,PROKKA_03894,PROKKA_04582,PROKKA_00035,PROKKA_01628,PROKKA_01338,PROKKA_01936,PROKKA_04504,PROKKA_03887,PROKKA_03185,PROKKA_03633,PROKKA_04394,PROKKA_04679
b0756,PROKKA_00250,PROKKA_03714,PROKKA_04439,PROKKA_00015,PROKKA_00644,PROKKA_01000,PROKKA_00777,PROKKA_02499,PROKKA_03928,PROKKA_04435,PROKKA_00518,PROKKA_04246,PROKKA_04950,PROKKA_04165
b4126,PROKKA_04109,PROKKA_02590,PROKKA_03308,PROKKA_04053,PROKKA_04308,PROKKA_02148,PROKKA_01895,PROKKA_01315,PROKKA_00270,PROKKA_03243,PROKKA_03873,PROKKA_03111,PROKKA_03789,PROKKA_00164
b0932,PROKKA_00443,PROKKA_03899,PROKKA_04732,PROKKA_00265,PROKKA_00895,PROKKA_00820,PROKKA_00591,PROKKA_02685,PROKKA_03749,PROKKA_04615,PROKKA_00907,PROKKA_04437,PROKKA_00243,PROKKA_03971
b1171,PROKKA_00720,PROKKA_04116,PROKKA_04998,PROKKA_00541,PROKKA_01171,PROKKA_00337,PROKKA_00389,PROKKA_02989,PROKKA_03488,PROKKA_04981,PROKKA_01140,PROKKA_04907,PROKKA_00579,PROKKA_03592
b0423,PROKKA_04914,PROKKA_03393,PROKKA_04108,PROKKA_04871,PROKKA_00249,PROKKA_01302,PROKKA_01094,PROKKA_02180,PROKKA_04234,PROKKA_04141,PROKKA_00140,PROKKA_03943,PROKKA_04655,PROKKA_04476
b4150,PROKKA_04184,PROKKA_02618,PROKKA_03345,PROKKA_04082,PROKKA_04337,PROKKA_02120,PROKKA_01867,PROKKA_01422,PROKKA_00234,PROKKA_03436,PROKKA_03768,PROKKA_03139,PROKKA_03926,PROKKA_00135
b3305,PROKKA_03158,PROKKA_01720,PROKKA_02287,PROKKA_03079,PROKKA_03399,PROKKA_03115,PROKKA_02830,PROKKA_00320,PROKKA_01206,PROKKA_02292,PROKKA_04747,PROKKA_02176,PROKKA_02786,PROKKA_01188
b4194,PROKKA_04227,PROKKA_02662,PROKKA_03389,PROKKA_04125,PROKKA_04385,PROKKA_02078,PROKKA_01824,PROKKA_01472,PROKKA_00190,PROKKA_03394,PROKKA_03721,PROKKA_03182,PROKKA_03968,PROKKA_00092
b4334,PROKKA_04340,PROKKA_02825,PROKKA_03593,PROKKA_04275,PROKKA_04549,PROKKA_01926,PROKKA_01647,PROKKA_01643,PROKKA_00045,PROKKA_03593,PROKKA_03503,PROKKA_03338,PROKKA_04098,PROKKA_05039
b2611,PROKKA_02375,PROKKA_00998,PROKKA_01400,PROKKA_02224,PROKKA_02650,PROKKA_03936,PROKKA_03602,PROKKA_05366,PROKKA_01959,PROKKA_01477,PROKKA_05693,PROKKA_01413,PROKKA_02052,PROKKA_02065
b2690,PROKKA_02453,PROKKA_01047,PROKKA_01505,PROKKA_02274,PROKKA_02725,PROKKA_03888,PROKKA_03539,PROKKA_05321,PROKKA_01916,PROKKA_01523,PROKKA_05633,PROKKA_01458,PROKKA_02097,PROKKA_02021
b0077,PROKKA_04511,PROKKA_03006,PROKKA_03753,PROKKA_04442,PROKKA_04717,PROKKA_01770,PROKKA_01473,PROKKA_01797,PROKKA_04643,PROKKA_03746,PROKKA_03338,PROKKA_03496,PROKKA_04256,PROKKA_04817
b2750,PROKKA_02517,PROKKA_01113,PROKKA_01570,PROKKA_02348,PROKKA_02791,PROKKA_03819,PROKKA_03472,PROKKA_05253,PROKKA_01832,PROKKA_01591,PROKKA_05568,PROKKA_01526,PROKKA_02161,PROKKA_01937
b1042,PROKKA_00535,PROKKA_04010,PROKKA_04826,PROKKA_00386,PROKKA_01010,PROKKA_00591,PROKKA_00504,PROKKA_02778,PROKKA_03655,PROKKA_04708,PROKKA_01015,PROKKA_04695,PROKKA_00403,PROKKA_03781
b4168,PROKKA_04201,PROKKA_02636,PROKKA_03363,PROKKA_04098,PROKKA_04353,PROKKA_02104,PROKKA_01850,PROKKA_01440,PROKKA_00217,PROKKA_03420,PROKKA_03750,PROKKA_03156,PROKKA_03942,PROKKA_00119
b1625,PROKKA_01266,PROKKA_04575,PROKKA_00284,PROKKA_01116,PROKKA_01599,PROKKA_05047,PROKKA_04672,PROKKA_03457,PROKKA_03058,PROKKA_00279,PROKKA_01774,PROKKA_00271,PROKKA_00989,PROKKA_03183
b3418,PROKKA_03253,PROKKA_01817,PROKKA_02397,PROKKA_03182,PROKKA_03503,PROKKA_03004,PROKKA_02720,PROKKA_00432,PROKKA_01097,PROKKA_02405,PROKKA_04636,PROKKA_02288,PROKKA_02895,PROKKA_01074
b1090,PROKKA_00585,PROKKA_04058,PROKKA_04875,PROKKA_00439,PROKKA_01057,PROKKA_00541,PROKKA_00452,PROKKA_02826,PROKKA_03606,PROKKA_04757,PROKKA_01071,PROKKA_04745,PROKKA_00451,PROKKA_03731
b1181,PROKKA_00731,PROKKA_04126,PROKKA_05008,PROKKA_00553,PROKKA_01181,PROKKA_00326,PROKKA_00378,PROKKA_02998,PROKKA_03478,PROKKA_04991,PROKKA_01152,PROKKA_04916,PROKKA_00589,PROKKA_03580
b3051,PROKKA_02899,PROKKA_01459,PROKKA_02029,PROKKA_02797,PROKKA_03188,PROKKA_03380,PROKKA_03089,PROKKA_00053,PROKKA_01464,PROKKA_02034,PROKKA_05109,PROKKA_01911,PROKKA_02528,PROKKA_01461
b0383,PROKKA_04872,PROKKA_03355,PROKKA_04068,PROKKA_04829,PROKKA_00209,PROKKA_01346,PROKKA_01134,PROKKA_02140,PROKKA_04274,PROKKA_04100,PROKKA_00097,PROKKA_03902,PROKKA_04616,PROKKA_04516
b1094,PROKKA_00589,PROKKA_04062,PROKKA_04879,PROKKA_00443,PROKKA_01061,PROKKA_00537,PROKKA_00448,PROKKA_02830,PROKKA_03602,PROKKA_04761,PROKKA_01075,PROKKA_04749,PROKKA_00455,PROKKA_03727
b0695,PROKKA_00183,PROKKA_03653,PROKKA_04377,PROKKA_05171,PROKKA_00579,PROKKA_01052,PROKKA_00839,PROKKA_02447,PROKKA_03981,PROKKA_04384,PROKKA_00426,PROKKA_04194,PROKKA_04902,PROKKA_04218
b3548,PROKKA_03437,PROKKA_01965,PROKKA_02546,PROKKA_03345,PROKKA_03643,PROKKA_02843,PROKKA_02557,PROKKA_00586,PROKKA_00943,PROKKA_02560,PROKKA_04469,PROKKA_02448,PROKKA_03046,PROKKA_00924
b0874,PROKKA_00384,PROKKA_03839,PROKKA_04560,PROKKA_00164,PROKKA_00777,PROKKA_00880,PROKKA_00654,PROKKA_02625,PROKKA_03808,PROKKA_04557,PROKKA_00787,PROKKA_04370,PROKKA_00154,PROKKA_04042
b3965,PROKKA_03935,PROKKA_02416,PROKKA_03102,PROKKA_03855,PROKKA_04128,PROKKA_02356,PROKKA_02087,PROKKA_01118,PROKKA_00473,PROKKA_03039,PROKKA_06002,PROKKA_02912,PROKKA_03593,PROKKA_00447
b0377,PROKKA_04866,PROKKA_03349,PROKKA_04062,PROKKA_04823,PROKKA_00203,PROKKA_01352,PROKKA_01140,PROKKA_02134,PROKKA_04280,PROKKA_04094,PROKKA_00090,PROKKA_03895,PROKKA_04610,PROKKA_04523
b3609,PROKKA_03503,PROKKA_02029,PROKKA_02610,PROKKA_03422,PROKKA_03716,PROKKA_02777,PROKKA_02492,PROKKA_00658,PROKKA_00879,PROKKA_02624,PROKKA_04383,PROKKA_02510,PROKKA_03107,PROKKA_00861
b2958,PROKKA_02759,PROKKA_01365,PROKKA_01812,PROKKA_02608,PROKKA_03018,PROKKA_03589,PROKKA_03234,PROKKA_05018,PROKKA_01600,PROKKA_01807,PROKKA_05289,PROKKA_01761,PROKKA_02387,PROKKA_01699
b0767,PROKKA_00261,PROKKA_03726,PROKKA_04450,PROKKA_00027,PROKKA_00656,PROKKA_00989,PROKKA_00765,PROKKA_02511,PROKKA_03917,PROKKA_04447,PROKKA_00532,PROKKA_04257,PROKKA_04961,PROKKA_04154
b3933,PROKKA_03901,PROKKA_02377,PROKKA_03066,PROKKA_03815,PROKKA_04090,PROKKA_02398,PROKKA_02134,PROKKA_01075,PROKKA_00509,PROKKA_02997,PROKKA_05953,PROKKA_02871,PROKKA_03552,PROKKA_00490
b0811,PROKKA_00307,PROKKA_03773,PROKKA_04495,PROKKA_00073,PROKKA_00707,PROKKA_00942,PROKKA_00719,PROKKA_02562,PROKKA_03872,PROKKA_04493,PROKKA_00698,PROKKA_04307,PROKKA_00046,PROKKA_04106
b0610,PROKKA_00104,PROKKA_03569,PROKKA_04287,PROKKA_05084,PROKKA_00494,PROKKA_01138,PROKKA_00928,PROKKA_02362,PROKKA_04071,PROKKA_04300,PROKKA_00333,PROKKA_04109,PROKKA_04818,PROKKA_04302
b4383,PROKKA_04405,PROKKA_02906,PROKKA_03642,PROKKA_04334,PROKKA_04590,PROKKA_01877,PROKKA_01582,PROKKA_01694,PROKKA_04751,PROKKA_03642,PROKKA_03457,PROKKA_03389,PROKKA_04152,PROKKA_04921
b2458,PROKKA_02204,PROKKA_00830,PROKKA_01248,PROKKA_02034,PROKKA_02479,PROKKA_04087,PROKKA_03753,PROKKA_04594,PROKKA_02167,PROKKA_01276,PROKKA_02834,PROKKA_01254,PROKKA_01895,PROKKA_02228
b4132,PROKKA_04116,PROKKA_02597,PROKKA_03324,PROKKA_04060,PROKKA_04316,PROKKA_02141,PROKKA_01888,PROKKA_01322,PROKKA_00254,PROKKA_03249,PROKKA_03865,PROKKA_03118,PROKKA_03796,PROKKA_00156
b4686,PROKKA_03786,PROKKA_02306,PROKKA_02998,PROKKA_03736,PROKKA_04015,PROKKA_02466,PROKKA_02207,PROKKA_00956,PROKKA_00584,PROKKA_02929,PROKKA_05864,PROKKA_02803,PROKKA_03444,PROKKA_00554
b3009,PROKKA_02853,PROKKA_01421,PROKKA_01972,PROKKA_02757,PROKKA_03235,PROKKA_03439,PROKKA_03143,PROKKA_04801,PROKKA_01518,PROKKA_01975,PROKKA_05154,PROKKA_01844,PROKKA_02469,PROKKA_01527
b2501,PROKKA_02248,PROKKA_00881,PROKKA_01283,PROKKA_02089,PROKKA_02529,PROKKA_04053,PROKKA_03719,PROKKA_04629,PROKKA_02133,PROKKA_01309,PROKKA_02883,PROKKA_01287,PROKKA_01928,PROKKA_02193
b3916,PROKKA_03882,PROKKA_02360,PROKKA_03049,PROKKA_03798,PROKKA_04073,PROKKA_02415,PROKKA_02151,PROKKA_01058,PROKKA_00526,PROKKA_02980,PROKKA_05935,PROKKA_02854,PROKKA_03535,PROKKA_00507
b0948,PROKKA_00454,PROKKA_03915,PROKKA_04741,PROKKA_00281,PROKKA_00912,PROKKA_00811,PROKKA_00580,PROKKA_02695,PROKKA_03739,PROKKA_04624,PROKKA_00925,PROKKA_04447,PROKKA_00253,PROKKA_03961
b0843,PROKKA_00347,PROKKA_03807,PROKKA_04527,PROKKA_00109,PROKKA_00741,PROKKA_00911,PROKKA_00687,PROKKA_02593,PROKKA_03840,PROKKA_04524,PROKKA_00749,PROKKA_04338,PROKKA_00078,PROKKA_04075
b3396,PROKKA_03230,PROKKA_01793,PROKKA_02374,PROKKA_03157,PROKKA_03478,PROKKA_03029,PROKKA_02744,PROKKA_00408,PROKKA_01120,PROKKA_02380,PROKKA_04667,PROKKA_02264,PROKKA_02873,PROKKA_01099
b1291,PROKKA_00932,PROKKA_04250,PROKKA_00060,PROKKA_00690,PROKKA_01309,PROKKA_00188,PROKKA_00171,PROKKA_03216,PROKKA_03347,PROKKA_00039,PROKKA_01327,PROKKA_05045,PROKKA_00720,PROKKA_03446
b0682,PROKKA_00174,PROKKA_03640,PROKKA_04366,PROKKA_05160,PROKKA_00567,PROKKA_01063,PROKKA_00850,PROKKA_02437,PROKKA_03991,PROKKA_04374,PROKKA_00412,PROKKA_04183,PROKKA_04892,PROKKA_04229
b1074,PROKKA_00566,PROKKA_04041,PROKKA_04858,PROKKA_00419,PROKKA_01040,PROKKA_00559,PROKKA_00469,PROKKA_02809,PROKKA_03624,PROKKA_04739,PROKKA_01049,PROKKA_04726,PROKKA_00434,PROKKA_03749
b0379,PROKKA_04868,PROKKA_03351,PROKKA_04064,PROKKA_04825,PROKKA_00205,PROKKA_01350,PROKKA_01138,PROKKA_02136,PROKKA_04278,PROKKA_04096,PROKKA_00093,PROKKA_03897,PROKKA_04612,PROKKA_04521
b0180,PROKKA_04614,PROKKA_03110,PROKKA_03865,PROKKA_04549,PROKKA_04798,PROKKA_01660,PROKKA_01368,PROKKA_01906,PROKKA_04534,PROKKA_03855,PROKKA_03217,PROKKA_03604,PROKKA_04364,PROKKA_04708
b3509,PROKKA_03382,PROKKA_01909,PROKKA_02498,PROKKA_03293,PROKKA_03597,PROKKA_02893,PROKKA_02615,PROKKA_00534,PROKKA_00992,PROKKA_02513,PROKKA_04529,PROKKA_02402,PROKKA_03001,PROKKA_00970
b2022,PROKKA_01731,PROKKA_00361,PROKKA_00817,PROKKA_01565,PROKKA_02066,PROKKA_04519,PROKKA_04184,PROKKA_04046,PROKKA_02581,PROKKA_00847,PROKKA_02313,PROKKA_00825,PROKKA_01474,PROKKA_02664
b0147,PROKKA_04582,PROKKA_03077,PROKKA_03829,PROKKA_04516,PROKKA_04764,PROKKA_01693,PROKKA_01401,PROKKA_01871,PROKKA_04570,PROKKA_03822,PROKKA_03260,PROKKA_03571,PROKKA_04331,PROKKA_04740
b1423,PROKKA_01014,PROKKA_04354,PROKKA_00143,PROKKA_00840,PROKKA_01414,PROKKA_00104,PROKKA_00092,PROKKA_03297,PROKKA_03202,PROKKA_00117,PROKKA_01492,PROKKA_00051,PROKKA_00795,PROKKA_03356
b1784,PROKKA_01437,PROKKA_00099,PROKKA_00451,PROKKA_01304,PROKKA_01765,PROKKA_04876,PROKKA_04500,PROKKA_03629,PROKKA_02892,PROKKA_00448,PROKKA_01962,PROKKA_00438,PROKKA_01160,PROKKA_02997
b2830,PROKKA_02604,PROKKA_01193,PROKKA_01692,PROKKA_02449,PROKKA_02868,PROKKA_03709,PROKKA_03354,PROKKA_05135,PROKKA_01714,PROKKA_01693,PROKKA_05465,PROKKA_01646,PROKKA_02271,PROKKA_01821
b4703,PROKKA_04094,PROKKA_02575,PROKKA_03294,PROKKA_04038,PROKKA_04293,PROKKA_02164,PROKKA_01910,PROKKA_01301,PROKKA_00285,PROKKA_03228,PROKKA_03889,PROKKA_03097,PROKKA_03775,PROKKA_00179
b1253,PROKKA_00821,PROKKA_04208,PROKKA_05128,PROKKA_00641,PROKKA_01264,PROKKA_00235,PROKKA_00295,PROKKA_03080,PROKKA_03392,PROKKA_05077,PROKKA_01275,PROKKA_05000,PROKKA_00674,PROKKA_03496
